,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA,VR_VOTO
5641,OSMARIO LACERDA FERRAZ DE MELO,OSMÁRIO,VITÓRIA DA CONQUISTA,MDB,SUPLENTE,2004,2000.0,3460.0,0.998003992015968
14369,JULIANO DE OLIVEIRA FERREIRA,JULIANO FERREIRA,CAMACÃ,PSB,ELEITO POR MÉDIA,301,300.0,433.33,0.9966777408637874
23144,ITALO SOUZA PARNAIBA,DR ITALO PARNAIBA,SERRA DO RAMALHO,PSC,SUPLENTE,151,150.45,2030.0,0.9963576158940397
4282,RAIMUNDO JOSÉ DE SOUZA SANTOS,RAIMUNDÃO,FEIRA DE SANTANA,SOLIDARIEDADE,NÃO ELEITO,793,790.0,240.0,0.9962168978562421
6976,FRANCISCO DE ASSIS DE ALMEIDA DOS SANTOS,CHIQUINHO DA FEIRA,NAZARÉ,REPUBLICANOS,SUPLENTE,176,175.0,175.0,0.9943181818181818
18350,ERICO PEREIRA SILVA JUNIOR,JUNIOR BOLINHA,VITÓRIA DA CONQUISTA,PSD,NÃO ELEITO,302,300.0,300.0,0.9933774834437086
34735,ELIOMAR BARBOSA DO NASCIMENTO,ZOI DA PRATA,ITAMARAJU,REPUBLICANOS,SUPLENTE,302,300.0,1300.0,0.9933774834437086
31916,GEOVANE GONÇALVES PEREIRA,GEOVANE GONÇALVES,ITAETÉ,PSB,SUPLENTE,116,115.0,4615.0,0.9913793103448276
3668,RAUL LIMA DOS SANTOS,RAUL DO CAMPINHO,SANTA CRUZ CABRÁLIA,PP,SUPLENTE,304,301.0,711.9,0.9901315789473685
33441,IVAN SANTANA CUNHA,IVAN CUNHA,SALINAS DA MARGARIDA,PP,SUPLENTE,101,100.0,100.0,0.9900990099009901
16716,VALDETE DE SOUZA FERNANDES,DETINHA,CANUDOS,PSD,SUPLENTE,354,350.0,2772.5,0.9887005649717514
30634,EDMILSON MOTA SILVA,BOMBEIRO MOTTA,SIMÕES FILHO,PODE,SUPLENTE,1113,1100.0,1100.0,0.9883198562443846
8576,ISAILSON SANDE FERREIRA PEREIRA,ZAI MARRETA,BOA NOVA,PP,ELEITO POR QP,372,367.5,1370.0,0.9879032258064516
29991,JURACY DE JESUS SANTOS,JURACY DA CAÇAMBA,LAJE,PODE,SUPLENTE,213,210.0,210.0,0.9859154929577465
20523,LINDOMAR PEREIRA,LÍDIO,BREJOLÂNDIA,PL,ELEITO POR QP,457,450.0,450.0,0.9846827133479212
5705,LEANDRO SOUSA ROCHA,TEZIN DO POVO,VITÓRIA DA CONQUISTA,PC do B,SUPLENTE,414,407.33,2114.03,0.9838888888888888
2713,CHARLES BARRETO CAVALCANTE,POLICIAL CHARLES,BARRA DO MENDES,PSD,SUPLENTE,305,300.0,835.0,0.9836065573770492
9521,CARLOS ALBERTO PAULO DOS SANTOS,CARLOS BEL,SALVADOR,DC,SUPLENTE,305,300.0,2000.0,0.9836065573770492
6443,WILSON SOBRAL DOS SANTOS,SOBRAL DO JORDÃO,CAMAÇARI,PP,SUPLENTE,152,149.3,630.0,0.9822368421052632
758,JOSE ALMEIDA SANTOS,ZELINHO,MUCUGÊ,PDT,SUPLENTE,280,275.0,275.0,0.9821428571428571
3211,FERNANDA LEMOS PINTO,PROFESSORA FERNANDA,IGRAPIÚNA,PP,SUPLENTE,51,50.0,50.0,0.9803921568627451
2031,JOSE LUIZ CORDEIRO DE BRITO,ZE LUIZ,CANDEAL,DEM,SUPLENTE,204,200.0,300.0,0.9803921568627451
16209,JALSIVALDO SANTANA DE JESUS,MICKEY,SAUBARA,PT,ELEITO POR QP,306,300.0,300.0,0.9803921568627451
14109,JOCIMARA SANTOS SILVA,MOZITO DA SAÚDE,FEIRA DE SANTANA,PROS,SUPLENTE,204,200.0,200.0,0.9803921568627451
31779,DULCE AMORIM DE OLIVEIRA,DULCE AMORIM,ITABERABA,DEM,SUPLENTE,153,150.0,443.75,0.9803921568627451
16908,ALMIRANDO DE JESUS ROCHA,MIRANDA ROCHA,CÂNDIDO SALES,AVANTE,NÃO ELEITO,97,95.0,110.0,0.979381443298969
35818,LAERCIO RODRIGUES DE SOUZA,LAÉRCIO,CORAÇÃO DE MARIA,PT,ELEITO POR QP,451,441.5,915.0,0.9789356984478935
