,index,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
0,29,CLAUDIONOR GONÇALVES NASCIMENTO,KAU PRESENÇA,IBIRAPUÃ,PTC,SUPLENTE,0,0.0,0.0
1,76,SOPHIA PEREIRA DA SILVA RÔDE,SOPHIA RÔDE,COCOS,PATRIOTA,NÃO ELEITO,4,0.0,0.0
2,88,SUELI MORAIS DE PAIXÃO,SUELI DA VÁRZEA,UBATÃ,PP,SUPLENTE,7,0.0,0.0
3,89,TELMA ALVES DE SOUZA,TELMA ENFERMEIRA,UBATÃ,PP,SUPLENTE,3,0.0,0.0
4,379,CRISTIANE DE JESUS OLIVEIRA,TINA DA RIFA,SÃO FELIPE,PSD,SUPLENTE,0,0.0,90.0
5,388,CÉLIA REGINA SOARES BARBOSA,CÉLIA GUEDES,SÃO FELIPE,PSD,SUPLENTE,1,0.0,90.0
6,396,REINALDO MOURA DA SILVA SANTANA,REINALDO,CABACEIRAS DO PARAGUAÇU,PSC,NÃO ELEITO,0,0.0,1110.0
7,428,ARSENIO MOREIRA DE LIMA JUNIOR,ARSENIO JÚNIOR,MURITIBA,PODE,NÃO ELEITO,2,0.0,0.0
8,429,ANA MARIA DOS SANTOS DE JESUS,ANA DA PIZZA,MURITIBA,PODE,NÃO ELEITO,7,0.0,0.0
9,434,LILIANE BARBOSA SERRA,LILIANE DE CELITA,MURITIBA,PODE,NÃO ELEITO,6,0.0,0.0
10,449,MARIA ANGÉLICA DOS SANTOS ARAÚJO,ANGÉLICA DE VAVÁ,APORÁ,PSD,SUPLENTE,1,0.0,0.0
11,450,ROSEDALVA MACIEL DE OLIVEIRA SANTOS,DALVA DE TITA,APORÁ,PSD,SUPLENTE,6,0.0,0.0
12,524,ITAMAR LIMA SERRA,ITAMAR SERRA,BIRITINGA,PROS,NÃO ELEITO,2,0.0,750.0
13,623,GILBERTO DA SILVA,GILBERTO LOCUTOR,SENTO SÉ,PRTB,NÃO ELEITO,4,0.0,0.0
14,650,ANANDA CAMILA DOS REIS GONÇALVES,CAMILA REIS,SENTO SÉ,PSD,SUPLENTE,1,0.0,0.0
15,655,MARIA ROSA LUZIA DOS SANTOS SOUZA,PRETINHA DO SÃO PEDRO,SENTO SÉ,PSD,SUPLENTE,7,0.0,0.0
16,669,FRANCISCA ALVES PEREIRA,PIU,PARATINGA,PT,SUPLENTE,5,0.0,0.0
17,675,SELMA JESUS DE OLIVEIRA,SELMA OLIVEIRA,PARATINGA,PT,SUPLENTE,2,0.0,0.0
18,677,MARIANE RAMOS DE OLIVEIRA,MARIANE,PARATINGA,PT,SUPLENTE,2,0.0,0.0
19,729,TATIANE CORREIA ANDRADE,TATIANE,RAFAEL JAMBEIRO,SOLIDARIEDADE,NÃO ELEITO,5,0.0,0.0
20,772,ELISANGELA BRITO DOS SANTOS MAGALHAES,LIU BRITO,MASCOTE,REPUBLICANOS,SUPLENTE,4,0.0,869.22
