,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
0,SAMUEL RODRIGUES DOS SANTOS,DR SAMUKA,CAMAÇARI,CIDADANIA,ELEITO POR MÉDIA,1745,0.0,18266.13
1,SILVIO PEREIRA DA SILVA,SILVIO BAIANO,BARRA,PSDB,ELEITO POR QP,1220,0.0,0.0
2,EDERJÚNIOR SANTOS DOS ANJOS,EDERJÚNIOR,ILHÉUS,PSL,ELEITO POR QP,1206,0.0,282.5
3,IRANDI ALVES RODRIGUES,SABIDO,BARRA,PP,ELEITO POR QP,1163,0.0,850.0
4,MARIA DO SOCORRO LEONARDO NUNES,SOCORRO,BARRA,PSDB,ELEITO POR QP,1135,0.0,0.0
5,FABIANO SA DE OLIVEIRA,FABIANO DE ZEZÃO,GLÓRIA,PP,ELEITO POR QP,1126,0.0,6150.0
6,CLEITON VIEIRA PINTO,CLEITON VIEIRA,SENHOR DO BONFIM,PC do B,ELEITO POR QP,1088,0.0,800.0
7,PEDRO CALDEIRA RAMOS,PEDRO CALDEIRA,BARRA,PP,ELEITO POR QP,1035,0.0,850.0
8,MARINALDO PEREIRA MARQUES,BATATINHA DA RADIO,BARRA,PP,ELEITO POR QP,1011,0.0,850.0
9,YURE RAMON DA SILVA CUNHA,YURE RAMON ,BARREIRAS,MDB,ELEITO POR MÉDIA,985,0.0,3473.0
10,EDVALDO LEITE DE SOUZA,EDVALDO DE ZÉ DE KELÉ,SERRINHA,SOLIDARIEDADE,ELEITO POR QP,970,0.0,2410.0
11,JOSÉ EDUARDO SANTANA CRUZ,ZÉ EDUARDO,CASA NOVA,PSDB,ELEITO POR MÉDIA,937,0.0,0.0
12,MARCOS ELIÉZIO DOS SANTOS SILVA,MARQUINHOS DO LÊU,MONTE SANTO,PSC,ELEITO POR QP,920,0.0,1330.0
13,ERALDO ROCHA DE SOUZA,ERALDO DA SAÚDE,NOVA SOURE,PSD,ELEITO POR QP,906,0.0,1662.54
14,JACSON TRINDADE DE SANTANA,JÁI DE JOÃO MACHADO,RAFAEL JAMBEIRO,DEM,ELEITO POR QP,880,0.0,472.0
15,JIVALDO DE SOUZA LIMA,VADU,BARRA,PSDB,ELEITO POR QP,875,0.0,0.0
16,ODAIR JOSE PEREIRA DE OLIVEIRA,DAI DE CORI,TREMEDAL,PSD,ELEITO POR QP,862,0.0,0.0
