,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
0,SULIVAN SANTOS AVELINO,SULIVAN SANTOS,SALVADOR,PODE,SUPLENTE,3838,0.0,0.0
1,LOURIVAL EVANGELISTA COSTA NETO,LOURIVAL NETO,SALVADOR,CIDADANIA,SUPLENTE,2937,0.0,20000.0
2,JAIR NASCIMENTO FERREIRA,JAIR FERREIRA,SALVADOR,AVANTE,SUPLENTE,2818,0.0,8578.36
3,JOSE CARLOS DA PAIXÃO RIBEIRO,ZÉ RIBEIRO,SALVADOR,PTB,SUPLENTE,2679,0.0,0.0
4,REGINALDO DOS SANTOS MOURA,REGIS MOURA,SALVADOR,PATRIOTA,SUPLENTE,2579,0.0,294.11
5,JOSIVAL DOS SANTOS BASTOS,JHONES BASTOS,SALVADOR,PT,SUPLENTE,2251,0.0,43900.0
6,JADSON RAIMUNDO BRITO DE OLIVEIRA,JADSON DAPAI,SALVADOR,PDT,SUPLENTE,2229,0.0,0.0
7,CLAUDIO EMANUEL ABDALA DE SANTANA,CLAUDIO ABDALA ,SALVADOR,PODE,SUPLENTE,2155,0.0,6750.0
8,CLAUDIO BISPO SILVA,CAL ME AJUDE,SALVADOR,PTB,SUPLENTE,1911,0.0,0.0
9,SAMUEL RODRIGUES DOS SANTOS,DR SAMUKA,CAMAÇARI,CIDADANIA,ELEITO POR MÉDIA,1745,0.0,18266.13
10,MILTON TEIXEIRA MELO,MILTON FEBRENTO,SALVADOR,PTB,SUPLENTE,1733,0.0,0.0
11,ADIELMA DO SOCORRO DA SILVA NIZARALA,DRA ADIELMA NIZARALA,SALVADOR,PDT,SUPLENTE,1660,0.0,0.0
12,ANTONIO CAETANO DOS SANTOS,RAMOS CAETANO,SALVADOR,DC,SUPLENTE,1520,0.0,4025.0
13,ANTÔNIO CARLOS SILVA SANTOS,CARLOS PAZ,SALVADOR,PT,SUPLENTE,1470,0.0,6500.0
14,ROMILSON CONCEIÇÃO DE ALMEIDA,PAPINHA,SALVADOR,SOLIDARIEDADE,SUPLENTE,1445,0.0,0.0
15,FRANCISCO DE ASSIS DOS SANTOS VANDERLEI,NA FÉ CHICO,SALVADOR,PTB,SUPLENTE,1419,0.0,0.0
16,WASLEY ISAQUE SANTOS BORGES,LELÊ DE CLÁUDIO BORGES,CAETITÉ,PSB,NÃO ELEITO,1373,0.0,525.0
17,FRANCISCO SILVA MOREIRA,FRANCO MOREIRA,SALVADOR,AVANTE,SUPLENTE,1371,0.0,8578.36
18,NILTON RIBEIRO DA CRUZ,DR NILTON CRUZ,SALVADOR,PATRIOTA,SUPLENTE,1350,0.0,1869.1100000000001
19,ANTONIO MARCOS VIEIRA DE OLIVEIRA,MARCOS CEARA,SALVADOR,DC,SUPLENTE,1309,0.0,2000.0
20,MARCOS ROBERTO NASCIMENTO SILVA,ROBERTÃO,JUAZEIRO,PDT,SUPLENTE,1265,0.0,0.0
21,ALAN LIMA SANTOS,ALANZINHO,SALVADOR,PTB,SUPLENTE,1223,0.0,0.0
22,SILVIO PEREIRA DA SILVA,SILVIO BAIANO,BARRA,PSDB,ELEITO POR QP,1220,0.0,0.0
23,EDERJÚNIOR SANTOS DOS ANJOS,EDERJÚNIOR,ILHÉUS,PSL,ELEITO POR QP,1206,0.0,282.5
24,LUIZ CLAUDIO LEITE DE OLIVEIRA SANTOS,CLÁUDIO LEITE GALEGO,SALVADOR,PP,NÃO ELEITO,1205,0.0,7000.0
25,HELIOMAR DOS SANTOS SOUZA,MAR DE AREIAS,CAMAÇARI,DEM,SUPLENTE,1180,0.0,9166.13
26,IRANDI ALVES RODRIGUES,SABIDO,BARRA,PP,ELEITO POR QP,1163,0.0,850.0
27,ANDRÉ LUIS COSTA SANTIAGO,ANDRÉ BAHIA,SALVADOR,PL,SUPLENTE,1162,0.0,0.0
28,MARIA DO SOCORRO LEONARDO NUNES,SOCORRO,BARRA,PSDB,ELEITO POR QP,1135,0.0,0.0
29,FABIANO SA DE OLIVEIRA,FABIANO DE ZEZÃO,GLÓRIA,PP,ELEITO POR QP,1126,0.0,6150.0
30,REGINALDO DA SILVA DE ANDRADE,HOLLYFIELD,SALVADOR,DEM,SUPLENTE,1120,0.0,0.0
31,CLEITON VIEIRA PINTO,CLEITON VIEIRA,SENHOR DO BONFIM,PC do B,ELEITO POR QP,1088,0.0,800.0
32,THEOPHILO ANTONIO RIBAS GONDIM,DR. THEOPHILO GONDIM,SALVADOR,DEM,SUPLENTE,1085,0.0,0.0
33,ADEMIR ARAUJO DA SILVA,ADEMIR ARAÚJO,CAMPO FORMOSO,PSDB,SUPLENTE,1082,0.0,4000.0
34,FABIO FERNANDES DE MORAES LUCENA,FÁBIO LUCENA,FEIRA DE SANTANA,PSDB,SUPLENTE,1082,0.0,0.0
35,GABRIEL EDSON DA SILVA PINHEIRO,GABRIEL EDSON,FEIRA DE SANTANA,PATRIOTA,SUPLENTE,1079,0.0,0.0
36,JOÃO ZITO BORGES DA SILVA,JOÃOZITO BORGES,FEIRA DE SANTANA,MDB,SUPLENTE,1068,0.0,0.0
37,NERY SANTANA DA SILVA,NERY SANTANA,ILHÉUS,PSL,SUPLENTE,1066,0.0,282.5
38,ERY ALBERTO FREIRE COSTA DA SILVA,BETO DOIDO,PAULO AFONSO,PSOL,NÃO ELEITO,1060,0.0,835.0
39,ROBERTO WILLIAM MELO DE FREITAS,BETO CHAPARRAL,FEIRA DE SANTANA,PSDB,SUPLENTE,1060,0.0,0.0
40,PAULO BRITO DOS SANTOS,PAULO BRITO,SALVADOR,PTB,SUPLENTE,1051,0.0,0.0
41,PEDRO CALDEIRA RAMOS,PEDRO CALDEIRA,BARRA,PP,ELEITO POR QP,1035,0.0,850.0
42,MESSIAS SANT ANA DIAS,MESSIAS DIAS,SALVADOR,DC,SUPLENTE,1032,0.0,3975.0
43,JOSAFÁ RAMOS DANTAS,TUTINHO,FEIRA DE SANTANA,PSD,SUPLENTE,1013,0.0,0.0
44,MARINALDO PEREIRA MARQUES,BATATINHA DA RADIO,BARRA,PP,ELEITO POR QP,1011,0.0,850.0
45,JOEL BRITO DOS SANTOS,JOEL DOEKA,SALVADOR,PATRIOTA,SUPLENTE,1009,0.0,294.11
46,NELSON PEREIRA FONTES,NELSINHO DO SUBURBIO NEWS,SALVADOR,PSDB,SUPLENTE,1006,0.0,0.0
47,AILTON LEONARDO BARBOSA SANCHES,AILTON LEONARDO BARBOSA SANCHE,SALVADOR,DC,SUPLENTE,992,0.0,3575.0
48,JOAO ABREU FILHO,DR JOAO DENTISTA,SALVADOR,PATRIOTA,SUPLENTE,989,0.0,969.11
49,YURE RAMON DA SILVA CUNHA,YURE RAMON ,BARREIRAS,MDB,ELEITO POR MÉDIA,985,0.0,3473.0
50,HAMILTON ALEXANDRE SANTOS DOS ANJOS,HAMILTON ALEXANDRE,SALVADOR,PMN,SUPLENTE,971,0.0,0.0
51,EDVALDO LEITE DE SOUZA,EDVALDO DE ZÉ DE KELÉ,SERRINHA,SOLIDARIEDADE,ELEITO POR QP,970,0.0,2410.0
52,PATRICIA CRISTINA DA SILVA SANTOS,PATRÍCIA DO PATINHAS,FEIRA DE SANTANA,DC,SUPLENTE,962,0.0,1561.33
53,WASHINGTON DA SILVA ANDRADE,CARLINHOS SEMPRE AMIGO,FEIRA DE SANTANA,PSC,SUPLENTE,957,0.0,1500.0
54,JOSÉ EDUARDO SANTANA CRUZ,ZÉ EDUARDO,CASA NOVA,PSDB,ELEITO POR MÉDIA,937,0.0,0.0
55,RUBENCEU GOMES DOS SANTOS,RUBENCEU,ITABUNA,PT,SUPLENTE,931,0.0,0.0
56,GLAYDSON COSTA SANTOS,GUEU,FEIRA DE SANTANA,PSC,SUPLENTE,921,0.0,0.0
57,PEDRO RAIMUNDO DE OLIVEIRA FREITAS,PEDRO CABELEIREIRO,FEIRA DE SANTANA,PSDB,SUPLENTE,920,0.0,0.0
58,MARCOS ELIÉZIO DOS SANTOS SILVA,MARQUINHOS DO LÊU,MONTE SANTO,PSC,ELEITO POR QP,920,0.0,1330.0
59,FABIO MORAES DA SILVA,FABIO MORAES,ALAGOINHAS,REPUBLICANOS,SUPLENTE,912,0.0,1000.0
60,ERALDO ROCHA DE SOUZA,ERALDO DA SAÚDE,NOVA SOURE,PSD,ELEITO POR QP,906,0.0,1662.54
61,CRISTIANO FERREIRA DOS SANTOS,CRISTIANO SANTOS,SALVADOR,REPUBLICANOS,SUPLENTE,902,0.0,2925.0
62,LUIS CARLOS SANTANA OLIVEIRA,CAKAH OLIVEIRA,SALVADOR,PMN,SUPLENTE,891,0.0,3545.0
63,ANDERSON LUIS SANTOS,APÓSTOLO ANDERSON,SALVADOR,PATRIOTA,SUPLENTE,881,0.0,294.11
64,JACSON TRINDADE DE SANTANA,JÁI DE JOÃO MACHADO,RAFAEL JAMBEIRO,DEM,ELEITO POR QP,880,0.0,472.0
65,JIVALDO DE SOUZA LIMA,VADU,BARRA,PSDB,ELEITO POR QP,875,0.0,0.0
66,VANDERLEY FERREIRA SANTOS,VANDERLEY DO BOLSA,TEIXEIRA DE FREITAS,PC do B,SUPLENTE,869,0.0,4995.0
67,ODAIR JOSE PEREIRA DE OLIVEIRA,DAI DE CORI,TREMEDAL,PSD,ELEITO POR QP,862,0.0,0.0
68,IVAN MERCÊS DE AZEVEDO,IVAN FILHO,VERA CRUZ,MDB,ELEITO POR QP,858,0.0,0.0
69,JÁELIA CAMPOS MEIRELES DAMASCENO,JAÉLIA DAMASCENO,EUNÁPOLIS,PMB,SUPLENTE,857,0.0,0.0
70,ROBERTO ARAUJO FERREIRA,PASTOR ROBERTO ARAUJO,SALVADOR,PTB,SUPLENTE,854,0.0,0.0
71,SÉRGIO BARRETO REIS,SÉRGIO S SCAR,SALVADOR,PSL,SUPLENTE,854,0.0,1125.0
